:START_ID,:END_ID,:TYPE
c73653c83bfff53ebf3ef8573cbbef83,8735304,product_of
c13b9a121f9333930b108b9a39e5f677,7437788,product_of
c73653c83bfff53ebf3ef8573cbbef83,100001467225,product_of
c73653c83bfff53ebf3ef8573cbbef83,7694047,product_of
c73653c83bfff53ebf3ef8573cbbef83,5853579,product_of
c13b9a121f9333930b108b9a39e5f677,7437786,product_of
c73653c83bfff53ebf3ef8573cbbef83,7081550,product_of
9f6290f4436e5a2351f12e03b6433c3c,5089253,product_of
c73653c83bfff53ebf3ef8573cbbef83,100000822981,product_of
c73653c83bfff53ebf3ef8573cbbef83,6703015,product_of
c73653c83bfff53ebf3ef8573cbbef83,100000766433,product_of
c73653c83bfff53ebf3ef8573cbbef83,7321794,product_of
c73653c83bfff53ebf3ef8573cbbef83,7694071,product_of
c13b9a121f9333930b108b9a39e5f677,8514651,product_of
c73653c83bfff53ebf3ef8573cbbef83,5464261,product_of
c73653c83bfff53ebf3ef8573cbbef83,6940276,product_of
9f6290f4436e5a2351f12e03b6433c3c,100000177760,product_of
c73653c83bfff53ebf3ef8573cbbef83,6055052,product_of
c13b9a121f9333930b108b9a39e5f677,8051124,product_of
9f6290f4436e5a2351f12e03b6433c3c,5089275,product_of
9f6290f4436e5a2351f12e03b6433c3c,5089267,product_of
9f6290f4436e5a2351f12e03b6433c3c,100000287113,product_of
c13b9a121f9333930b108b9a39e5f677,8264403,product_of
c13b9a121f9333930b108b9a39e5f677,7283905,product_of
c13b9a121f9333930b108b9a39e5f677,7651931,product_of
c73653c83bfff53ebf3ef8573cbbef83,6946625,product_of
67843bc0e7e7b09cc369beabf05e9d30,100000727128,product_of
c73653c83bfff53ebf3ef8573cbbef83,100000650837,product_of
b09207f5c299c42708e1badb72c04025,7920226,product_of
c13b9a121f9333930b108b9a39e5f677,7437564,product_of
c73653c83bfff53ebf3ef8573cbbef83,7596939,product_of
c73653c83bfff53ebf3ef8573cbbef83,100000745034,product_of
c73653c83bfff53ebf3ef8573cbbef83,5963066,product_of
c73653c83bfff53ebf3ef8573cbbef83,100000047504,product_of
c73653c83bfff53ebf3ef8573cbbef83,100001364184,product_of
c73653c83bfff53ebf3ef8573cbbef83,7421462,product_of
c73653c83bfff53ebf3ef8573cbbef83,5706773,product_of
c73653c83bfff53ebf3ef8573cbbef83,6627510,product_of
c73653c83bfff53ebf3ef8573cbbef83,8240587,product_of
c13b9a121f9333930b108b9a39e5f677,5911914,product_of
c73653c83bfff53ebf3ef8573cbbef83,6999009,product_of
c73653c83bfff53ebf3ef8573cbbef83,5284203,product_of
c73653c83bfff53ebf3ef8573cbbef83,6001251,product_of
9f6290f4436e5a2351f12e03b6433c3c,1861102,product_of
c13b9a121f9333930b108b9a39e5f677,100000503295,product_of
c73653c83bfff53ebf3ef8573cbbef83,100000322942,product_of
c73653c83bfff53ebf3ef8573cbbef83,8058010,product_of
c73653c83bfff53ebf3ef8573cbbef83,6737464,product_of
c73653c83bfff53ebf3ef8573cbbef83,100000982034,product_of
